Site ID,Lon,Lat,Vertical Rate (mm/yr),Vertical Rate - BOP corrected (mm/yr),1-sigma uncertainty (mm/yr),Number of obs,Quality Factor,Average distance between coastal point and observations,,,,,,,
769,174.70588,-36.495702,-1.343744,-1.343744,1.591809,1591,1.666667,7.427027,,,,,,,
770,174.706704,-36.485858,-1.340915,-1.340915,1.677995,1538,1.666667,7.061348,,,,,,,
771,174.69561,-36.485655,-1.313344,-1.313344,1.726274,1717,1.666667,7.363442,,,,,,,
772,174.685264,-36.485102,-1.600343,-1.600343,2.529356,289,2,3.461575,,,,,,,
773,174.685797,-36.480763,-1.321956,-1.321956,1.638381,2076,1.666667,7.639074,,,,,,,
774,174.69898,-36.47393,-1.365677,-1.365677,1.544076,2005,1.666667,7.149862,,,,,,,
775,174.712042,-36.482655,-1.340853,-1.340853,1.525387,1633,1.666667,7.10978,,,,,,,
776,174.715128,-36.479899,-1.339865,-1.339865,1.610436,1684,1.666667,7.080405,,,,,,,
777,174.710826,-36.470777,-1.355588,-1.355588,1.502327,2025,1.666667,7.043382,,,,,,,
778,174.715973,-36.465012,-1.226762,-1.226762,2.637343,634,1.333333,4.126012,,,,,,,
779,174.702713,-36.4693,-1.347911,-1.347911,1.384046,2079,1.666667,6.990675,,,,,,,
780,174.690276,-36.464371,-1.369692,-1.369692,1.434839,2191,1.666667,6.885571,,,,,,,
781,174.701103,-36.457273,-1.422742,-1.422742,1.546532,664,1.333333,4.372462,,,,,,,
782,174.705282,-36.450896,-1.445234,-1.445234,1.421174,737,1.333333,3.936089,,,,,,,
783,174.699526,-36.4445,-1.325557,-1.325557,1.662088,781,1.333333,3.941321,,,,,,,
784,174.707725,-36.439958,-1.370675,-1.370675,1.623645,787,1.333333,3.326114,,,,,,,
785,174.697321,-36.432125,-1.311985,-1.311985,1.763104,1240,1.333333,3.917147,,,,,,,
786,174.691586,-36.432469,-1.318632,-1.318632,1.427844,1250,1.333333,4.028459,,,,,,,
787,174.684787,-36.423005,-1.322516,-1.322516,1.419469,1241,1.333333,3.542051,,,,,,,
788,174.687034,-36.417278,-1.334568,-1.334568,1.535054,1310,1.333333,3.377807,,,,,,,
789,174.683902,-36.409638,-1.861613,-1.861613,2.438485,475,1,1.954507,,,,,,,
790,174.671491,-36.399741,-2.801117,-2.801117,2.298198,331,1.333333,0.691459,,,,,,,
791,174.669079,-36.397899,-2.851869,-2.851869,2.403279,375,1.333333,0.660322,,,,,,,
792,174.68432,-36.409061,-1.720725,-1.720725,2.292705,475,1,1.963302,,,,,,,
793,174.693483,-36.42016,-1.303624,-1.303624,1.544506,1399,1.333333,3.595546,,,,,,,
794,174.706809,-36.427825,-0.923972,-0.923972,2.527111,312,1.333333,2.114827,,,,,,,
795,174.717703,-36.422631,-0.384364,-0.384364,2.853055,459,1,1.476728,,,,,,,
796,174.719378,-36.425693,-0.439104,-0.439104,2.455674,504,1,1.519723,,,,,,,
797,174.72809,-36.432049,-0.394773,-0.394773,2.700781,587,1,1.419726,,,,,,,
798,174.725684,-36.441409,-0.561055,-0.561055,2.605349,441,1,1.858009,,,,,,,
799,174.730965,-36.454961,-1.306769,-1.306769,2.669489,744,1.333333,3.228895,,,,,,,
800,174.733193,-36.470702,-1.309433,-1.309433,2.55403,523,1.333333,3.791258,,,,,,,
801,174.726875,-36.482229,-1.382215,-1.382215,1.427706,1382,1.666667,6.719981,,,,,,,
802,174.732788,-36.480018,-1.357523,-1.357523,1.390375,1315,1.666667,6.517226,,,,,,,
803,174.738199,-36.466192,-0.875562,-0.875562,2.539393,551,1.333333,3.490423,,,,,,,
804,174.738694,-36.456399,-0.994967,-0.994967,2.541858,220,1.666667,2.121831,,,,,,,
805,174.749403,-36.465652,-1.154182,-1.154182,2.73216,512,1.333333,3.402578,,,,,,,
806,174.747351,-36.472937,-0.932251,-0.932251,2.605431,413,1.333333,3.652037,,,,,,,
807,174.745589,-36.479397,-1.19637,-1.19637,2.475429,285,2,3.68154,,,,,,,
808,174.739857,-36.487349,-1.40938,-1.40938,1.560524,1173,1.666667,6.712917,,,,,,,
809,174.739006,-36.494103,-1.425687,-1.425687,1.609098,1202,2,7.126484,,,,,,,
810,174.739935,-36.502659,-1.550326,-1.550326,2.073592,1259,2,7.665508,,,,,,,
811,174.750846,-36.492814,-1.634753,-1.634753,2.134805,1120,2,7.22628,,,,,,,
812,174.754023,-36.476652,-1.683773,-1.683773,2.502202,333,1.666667,3.809322,,,,,,,
813,174.763026,-36.461341,-0.82598,-0.82598,2.481692,488,1.333333,3.38426,,,,,,,
814,174.767023,-36.445482,-0.677099,-0.677099,2.78062,620,1.333333,3.095013,,,,,,,
815,174.778695,-36.438512,-0.697354,-0.697354,2.80464,500,1.666667,3.505902,,,,,,,
816,174.76334,-36.440587,-1.050104,-1.050104,2.590759,305,1.333333,1.692421,,,,,,,
817,174.752918,-36.436867,-0.756024,-0.756024,2.577175,425,1,1.361222,,,,,,,
818,174.739934,-36.426457,-0.793297,-0.793297,2.721881,586,1,1.193322,,,,,,,
819,174.729565,-36.414546,-0.568287,-0.568287,2.79383,543,1,1.355428,,,,,,,
820,174.737541,-36.400628,-0.268329,-0.268329,2.435952,374,1.333333,1.812525,,,,,,,
821,174.729027,-36.389349,-0.33355,-0.33355,2.575687,245,1.666667,1.60992,,,,,,,
822,174.717212,-36.393637,-0.696115,-0.696115,2.615327,265,1.666667,1.545333,,,,,,,
823,174.712554,-36.383209,-2.091413,-2.091413,2.449675,1285,1.333333,3.802189,,,,,,,
824,174.721584,-36.388247,-1.946178,-1.946178,2.645401,1007,1.333333,3.344266,,,,,,,
825,174.726001,-36.375531,-1.991966,-1.991966,2.367547,868,1.333333,3.246001,,,,,,,
826,174.725873,-36.369785,-1.951151,-1.951151,2.277605,814,1.333333,3.177396,,,,,,,
827,174.720964,-36.359656,-2.044074,-2.044074,2.456789,272,2,1.455741,,,,,,,
828,174.728211,-36.367932,-1.387882,-1.387882,2.439057,231,1.666667,1.872288,,,,,,,
829,174.730241,-36.374743,-1.766698,-1.766698,2.57287,841,1.333333,3.20109,,,,,,,
830,174.731698,-36.360195,-1.751673,-1.751673,2.712307,259,2,1.577286,,,,,,,
831,174.734139,-36.372835,-1.083711,-1.083711,2.552098,811,1.333333,3.175761,,,,,,,
832,174.739071,-36.37784,-1.196816,-1.196816,2.583164,257,1.666667,1.924165,,,,,,,
833,174.731584,-36.384922,-1.652225,-1.652225,2.588513,980,1.333333,3.331491,,,,,,,
834,174.742995,-36.389371,-1.563287,-1.563287,2.46211,968,1.333333,3.351795,,,,,,,
835,174.744849,-36.396556,-0.503344,-0.503344,2.623443,257,1.666667,1.815402,,,,,,,
836,174.756214,-36.388791,-1.118919,-1.118919,2.65233,818,1.666667,3.521658,,,,,,,
837,174.756537,-36.381824,-1.137997,-1.137997,2.367398,686,1.666667,3.335382,,,,,,,
838,174.769111,-36.381931,-1.079758,-1.079758,2.346826,392,2,2.982508,,,,,,,
839,174.773745,-36.391375,-1.022036,-1.022036,2.332209,369,2,3.383076,,,,,,,
840,174.78303,-36.388265,-2.103381,-2.103381,2.459656,1657,2,6.314342,,,,,,,
841,174.791015,-36.381825,-1.81406,-1.81406,2.396618,1605,2,6.740401,,,,,,,
842,174.805147,-36.382892,-1.496811,-1.496811,2.408556,1553,2,7.612068,,,,,,,
843,174.819657,-36.377199,-1.463467,-1.463467,2.587251,1409,2,8.570321,,,,,,,
844,174.838474,-36.378413,-1.518056,-1.518056,2.2777,499,2,8.631717,,,,,,,
845,174.857407,-36.374306,-1.398339,-1.398339,1.391474,2675,2,14.137027,,,,,,,
846,174.867689,-36.365711,-1.423772,-1.423772,1.648148,2579,2,14.89914,,,,,,,
847,174.853351,-36.366609,-1.399082,-1.399082,1.725139,2671,2,13.905035,,,,,,,
848,174.836057,-36.368722,-1.169866,-1.169866,2.562152,551,2,8.323007,,,,,,,
849,174.817561,-36.360055,-1.294741,-1.294741,2.357389,831,2,7.506315,,,,,,,
850,174.806346,-36.349517,-1.376614,-1.376614,2.504644,898,2,6.821309,,,,,,,
851,174.787947,-36.349024,-1.680404,-1.680404,2.449149,438,1.666667,3.999759,,,,,,,
852,174.779712,-36.332838,-2.030821,-2.030821,2.439378,408,1.666667,3.216661,,,,,,,
853,174.781495,-36.319144,-1.633042,-1.633042,2.417826,1015,2,6.175017,,,,,,,
854,174.770848,-36.333772,-1.785003,-1.785003,2.391736,455,1.666667,2.802449,,,,,,,
855,174.771056,-36.341966,-1.412303,-1.412303,2.463141,556,1.666667,3.233591,,,,,,,
856,174.782586,-36.353571,-1.258633,-1.258633,2.637732,485,1.666667,3.830172,,,,,,,
857,174.777276,-36.36312,-1.094126,-1.094126,2.475546,500,1.666667,3.709797,,,,,,,
858,174.764707,-36.356463,-1.131272,-1.131272,2.453834,712,1.666667,3.478108,,,,,,,
859,174.760334,-36.341735,-1.967079,-1.967079,2.66308,280,2,1.842506,,,,,,,
860,174.761698,-36.330765,-2.678412,-2.678412,2.847315,254,2,1.111971,,,,,,,
861,174.754997,-36.321883,-2.111275,-2.111275,2.51819,525,1.333333,2.466942,,,,,,,
862,174.744537,-36.334958,-2.11948,-2.11948,2.58187,356,1.666667,1.448581,,,,,,,
863,174.744883,-36.328168,-2.306014,-2.306014,2.684507,339,1.666667,1.254655,,,,,,,
864,174.750085,-36.321002,-2.761666,-2.761666,2.535132,276,2,0.973933,,,,,,,
865,174.7559,-36.310444,-2.262493,-2.262493,2.380302,380,2,2.599374,,,,,,,
866,174.765121,-36.315882,-1.978142,-1.978142,2.58902,376,2,2.500649,,,,,,,
867,174.778747,-36.308686,-1.264779,-1.264779,2.364311,960,2,6.321963,,,,,,,
868,174.780732,-36.311043,-1.270261,-1.270261,2.361431,962,2,6.315629,,,,,,,
869,174.784882,-36.320062,-1.649617,-1.649617,2.495634,990,2,6.264149,,,,,,,
870,174.799049,-36.317658,-1.575902,-1.575902,2.374978,881,2,6.94382,,,,,,,
871,174.795762,-36.302793,-1.645671,-1.645671,2.343806,824,2,7.181503,,,,,,,
872,174.809192,-36.293309,-1.969006,-1.969006,2.551192,530,2,7.451095,,,,,,,
873,174.809724,-36.286232,-2.007383,-2.007383,2.499949,506,2,7.719131,,,,,,,
874,174.817145,-36.283434,-2.041231,-2.041231,2.423711,427,2,8.017336,,,,,,,
875,174.815525,-36.274724,-2.221633,-2.221633,2.475975,398,2.333333,8.194101,,,,,,,
876,174.79845,-36.268711,-2.049749,-2.049749,2.463048,427,2,7.565858,,,,,,,
877,174.778623,-36.269408,-2.044887,-2.044887,2.483892,562,2,7.148625,,,,,,,
878,174.761757,-36.260976,-2.476062,-2.476062,2.518584,572,2,7.034191,,,,,,,
879,174.742384,-36.254082,-2.659521,-2.659521,2.42572,552,2,6.778114,,,,,,,
880,174.726443,-36.244404,-2.373685,-2.373685,2.613996,494,2,6.945371,,,,,,,
881,174.717499,-36.253246,-1.792091,-1.792091,2.290304,590,2,6.79853,,,,,,,
882,174.721277,-36.243239,-2.040024,-2.040024,2.618252,485,2,6.941517,,,,,,,
883,174.717818,-36.235722,-1.913621,-1.913621,2.130939,2697,2,15.284135,,,,,,,
884,174.702979,-36.222778,-1.558002,-1.558002,2.214203,2362,2,15.199723,,,,,,,
885,174.689453,-36.210356,-1.787217,-1.787217,2.403784,1968,2,14.645876,,,,,,,
886,174.67443,-36.195459,-1.847018,-1.847018,2.140356,1883,2,14.731177,,,,,,,
887,174.661811,-36.181007,-2.049668,-2.049668,2.413614,1860,2.333333,14.937654,,,,,,,
888,174.65135,-36.164907,-2.651018,-2.651018,2.265479,391,2.666667,8.191386,,,,,,,
889,174.643043,-36.153728,-2.565557,-2.565557,2.532305,419,2.333333,7.747625,,,,,,,
890,174.63108,-36.13809,-2.661159,-2.661159,2.61547,380,2.666667,6.318586,,,,,,,
891,174.620748,-36.123164,-2.559551,-2.559551,2.45947,389,2.666667,5.324139,,,,,,,
892,174.610859,-36.106405,-2.094979,-2.094979,2.614379,431,2.333333,5.032834,,,,,,,
893,174.602573,-36.090844,-2.435877,-2.435877,2.389417,445,2,4.998881,,,,,,,
894,174.593673,-36.091196,-2.300084,-2.300084,2.481886,472,2,4.754651,,,,,,,
895,174.600169,-36.106284,-2.473505,-2.473505,2.471296,491,2,4.942027,,,,,,,
896,174.594147,-36.121713,-2.076214,-2.076214,2.675031,499,2,4.835766,,,,,,,
897,174.583631,-36.13205,-2.34518,-2.34518,2.583697,524,2.333333,5.003483,,,,,,,
898,174.570304,-36.142153,-2.438874,-2.438874,2.544177,572,2.333333,5.601828,,,,,,,
899,174.569564,-36.138785,-2.485547,-2.485547,2.484894,538,2.333333,5.163204,,,,,,,
900,174.567505,-36.129981,-2.637497,-2.637497,2.608681,549,2,4.863499,,,,,,,
901,174.578331,-36.129786,-2.475527,-2.475527,2.243367,518,2,4.701009,,,,,,,
902,174.57361,-36.121418,-2.720299,-2.720299,2.521884,308,2,2.401336,,,,,,,
903,174.576568,-36.111936,-3.023254,-3.023254,2.400384,317,2,2.216384,,,,,,,
904,174.568596,-36.103384,-2.700323,-2.700323,2.451957,313,2,2.35372,,,,,,,
905,174.56296,-36.096704,-2.776891,-2.776891,2.581251,317,2.333333,2.752932,,,,,,,
906,174.568752,-36.094077,-2.601532,-2.601532,2.468973,296,2.666667,2.514037,,,,,,,
907,174.577363,-36.103468,-3.055091,-3.055091,2.420609,313,2,2.219492,,,,,,,
908,174.584928,-36.116143,-2.991771,-2.991771,2.719479,309,2,2.316961,,,,,,,
909,174.596626,-36.107776,-2.666225,-2.666225,2.665879,291,2.333333,2.399508,,,,,,,
910,174.591586,-36.092359,-2.612854,-2.612854,2.782675,282,2.333333,2.467666,,,,,,,
911,174.596529,-36.081926,-2.244839,-2.244839,2.447052,431,2,4.940483,,,,,,,
912,174.592828,-36.067819,-2.185756,-2.185756,2.41876,418,2.333333,5.644862,,,,,,,
913,174.590497,-36.052482,-2.203544,-2.203544,2.431477,381,2.666667,6.522019,,,,,,,
914,174.580604,-36.042721,-2.063279,-2.063279,2.372999,384,2.666667,7.182307,,,,,,,
915,174.564233,-36.048053,-2.185901,-2.185901,2.57362,422,2.333333,6.739022,,,,,,,
916,174.545432,-36.046395,-2.086457,-2.086457,2.38086,436,2.333333,6.897628,,,,,,,
917,174.52988,-36.040424,-1.625767,-1.625767,2.388103,537,2.333333,7.851552,,,,,,,
918,174.514305,-36.031231,-1.80886,-1.80886,2.21444,510,2.333333,7.725613,,,,,,,
919,174.50019,-36.019817,-1.417697,-1.417697,2.325565,468,2.333333,6.882715,,,,,,,
920,174.489496,-36.003956,-1.150495,-1.150495,2.27686,461,2,5.904141,,,,,,,
921,174.482805,-35.99429,-1.601313,-1.601313,2.060699,485,2,5.470818,,,,,,,
922,174.489715,-36.010301,-1.10291,-1.10291,2.395434,475,2,6.219569,,,,,,,
923,174.501774,-36.024618,-1.455509,-1.455509,2.335451,487,2.333333,7.145962,,,,,,,
924,174.490133,-36.013396,-1.206924,-1.206924,2.277908,480,2,6.37568,,,,,,,
925,174.480839,-35.998008,-1.908381,-1.908381,2.100631,473,2,5.345819,,,,,,,
926,174.466682,-35.989334,-1.371408,-1.371408,2.075145,526,1.666667,4.838138,,,,,,,
927,174.479486,-35.991704,-1.942429,-1.942429,2.276063,497,2,5.322181,,,,,,,
928,174.474498,-35.975158,-1.587999,-1.587999,2.329177,526,2,5.098123,,,,,,,
929,174.467515,-35.959005,-0.834141,-0.834141,2.277941,312,2,3.318879,,,,,,,
930,174.46321,-35.940889,-0.80157,-0.80157,2.327267,789,2,5.91147,,,,,,,
931,174.460908,-35.923153,-0.771238,-0.771238,2.747497,308,2,3.741789,,,,,,,
932,174.461798,-35.905304,-0.349346,-0.349346,2.321838,404,1.666667,3.140144,,,,,,,
933,174.453325,-35.904136,-0.349346,-0.349346,2.365986,404,1.666667,2.917717,,,,,,,
934,174.451335,-35.899131,-0.339244,-0.339244,2.688215,420,1.666667,2.734135,,,,,,,
935,174.452437,-35.884288,-0.915155,-0.915155,2.419269,285,2,1.376542,,,,,,,
936,174.45223,-35.896872,-1.657533,-1.657533,2.779249,215,2,1.736891,,,,,,,
937,174.460167,-35.897834,-0.86147,-0.86147,2.658674,403,1.666667,2.670554,,,,,,,
938,174.466376,-35.88583,-0.96453,-0.96453,2.371624,415,1.333333,2.344715,,,,,,,
939,174.473366,-35.868739,-0.439948,-0.439948,2.44848,242,2,1.508075,,,,,,,
940,174.486023,-35.854542,-0.190216,-0.190216,2.250984,703,1.666667,3.207092,,,,,,,
941,174.501244,-35.84138,-0.207366,-0.207366,2.306652,518,1.666667,2.938739,,,,,,,
942,174.489397,-35.833405,-0.497807,-0.497807,2.438315,551,1.666667,2.67135,,,,,,,
943,174.479831,-35.836133,-0.46576,-0.46576,2.463613,283,2,1.569095,,,,,,,
944,174.472949,-35.837387,-0.734629,-0.734629,2.149169,331,1.666667,1.803946,,,,,,,
945,174.468541,-35.836204,-0.60353,-0.60353,2.404488,338,1.666667,1.794852,,,,,,,
946,174.464751,-35.835053,-0.626431,-0.626431,2.22039,277,2,1.551938,,,,,,,
947,174.469369,-35.83077,-0.344872,-0.344872,2.359771,290,2,1.608687,,,,,,,
948,174.455329,-35.818911,0.265616,0.265616,2.233395,609,1.666667,3.124089,,,,,,,
949,174.440221,-35.828625,-0.466353,-0.466353,2.209023,239,2,1.565189,,,,,,,
950,174.431427,-35.835848,-0.897139,-0.897139,2.351823,461,1.666667,2.934464,,,,,,,
951,174.421938,-35.837447,-0.837147,-0.837147,2.078128,445,1.666667,3.192446,,,,,,,
952,174.426261,-35.827754,-0.210872,-0.210872,2.160777,406,1.666667,2.858574,,,,,,,
953,174.40882,-35.828295,-0.75951,-0.75951,2.306699,323,1.666667,3.221255,,,,,,,
954,174.395186,-35.826653,-0.932954,-0.932954,1.649562,2232,1.666667,7.600314,,,,,,,
955,174.383786,-35.813909,-0.929874,-0.929874,1.371616,2272,1.666667,7.337221,,,,,,,
956,174.376262,-35.822735,-0.948332,-0.948332,1.416044,2142,1.666667,7.655737,,,,,,,
957,174.374249,-35.83251,-0.941765,-0.941765,1.508377,1993,1.666667,7.975643,,,,,,,
958,174.370276,-35.825748,-0.9465,-0.9465,1.492526,2059,1.666667,7.790284,,,,,,,
959,174.374483,-35.820038,-0.939159,-0.939159,1.488891,2128,1.666667,7.524171,,,,,,,
960,174.372623,-35.808599,-0.933343,-0.933343,1.480014,3004,1.666667,7.695862,,,,,,,
961,174.359935,-35.808818,-0.935163,-0.935163,1.674046,3417,1.666667,7.851816,,,,,,,
962,174.361134,-35.821376,-0.959223,-0.959223,1.69578,2198,1.666667,7.796397,,,,,,,
963,174.358681,-35.833918,-0.93244,-0.93244,1.700026,1742,1.666667,8.100177,,,,,,,
964,174.342055,-35.83546,-0.958767,-0.958767,1.448512,1449,1.666667,8.175981,,,,,,,
965,174.356276,-35.842919,-0.918092,-0.918092,1.534412,1291,1.666667,8.03379,,,,,,,
966,174.343572,-35.84387,-0.942769,-0.942769,1.447731,960,1.666667,7.804079,,,,,,,
967,174.335575,-35.84919,-0.939242,-0.939242,1.590417,685,1.666667,7.387498,,,,,,,
968,174.332292,-35.838883,-0.969897,-0.969897,1.496006,999,1.666667,7.815793,,,,,,,
969,174.321875,-35.842436,-0.953356,-0.953356,1.364362,771,1.666667,7.63163,,,,,,,
970,174.319439,-35.84291,-0.941914,-0.941914,1.371238,758,1.666667,7.67504,,,,,,,
971,174.311029,-35.842918,-0.938194,-0.938194,1.370689,711,1.666667,7.739856,,,,,,,
972,174.306332,-35.839802,-0.910071,-0.910071,1.657623,770,1.666667,7.852063,,,,,,,
973,174.31321,-35.833987,-0.956612,-0.956612,1.364024,1061,1.666667,7.983603,,,,,,,
974,174.313071,-35.828011,-0.984563,-0.984563,1.559555,1861,1.666667,8.4945,,,,,,,
975,174.315991,-35.821737,-0.952699,-0.952699,1.733562,2751,1.666667,8.488408,,,,,,,
976,174.322473,-35.83335,-0.964944,-0.964944,1.518735,1229,1.666667,8.040198,,,,,,,
977,174.334326,-35.825055,-0.94921,-0.94921,1.451892,2159,1.666667,8.216587,,,,,,,
978,174.331086,-35.81714,-0.931395,-0.931395,1.49026,3050,1.666667,8.166977,,,,,,,
979,174.323084,-35.807926,-0.94117,-0.94117,1.664571,3845,1.666667,7.773647,,,,,,,
980,174.327266,-35.810776,-0.939406,-0.939406,1.642194,3736,1.666667,7.968931,,,,,,,
981,174.335446,-35.803928,-0.957448,-0.957448,1.714222,314,1.666667,3.699783,,,,,,,
982,174.338882,-35.792577,-0.982147,-0.982147,1.436905,617,1.333333,3.879225,,,,,,,
983,174.326811,-35.784941,-0.961685,-0.961685,1.555756,913,1.333333,3.941473,,,,,,,
984,174.324446,-35.779029,-0.981454,-0.981454,1.527219,1673,1.333333,4.126008,,,,,,,
985,174.314827,-35.774963,-0.949818,-0.949818,1.650714,1866,1.333333,3.934742,,,,,,,
986,174.314284,-35.774786,-0.947254,-0.947254,1.574228,1892,1.333333,3.931828,,,,,,,
987,174.322553,-35.761872,0.294704,0.294704,2.438471,379,1.333333,1.807083,,,,,,,
988,174.341042,-35.753709,-0.027616,-0.027616,2.4879,632,1,2.096291,,,,,,,
989,174.348226,-35.763261,-0.515144,-0.515144,2.30588,732,1,1.976625,,,,,,,
990,174.348228,-35.751594,-0.039759,-0.039759,2.307465,806,1,1.716941,,,,,,,
991,174.347901,-35.737654,0.041671,0.041671,2.489516,908,1,1.79523,,,,,,,
992,174.330109,-35.740431,0.401445,0.401445,2.312461,1603,1,1.850885,,,,,,,
993,174.319235,-35.748719,0.057841,0.057841,2.385882,1436,1,1.715911,,,,,,,
994,174.3283,-35.739596,0.167819,0.167819,2.279396,1698,1,1.772234,,,,,,,
995,174.336135,-35.734767,0.037794,0.037794,2.240945,1313,1,1.73399,,,,,,,
996,174.348537,-35.729451,0.086185,0.086185,2.28018,861,1,1.848662,,,,,,,
997,174.353781,-35.736699,0.087604,0.087604,2.254908,794,1,1.666026,,,,,,,
998,174.365461,-35.732363,0.052395,0.052395,2.33513,625,1,1.781552,,,,,,,
999,174.359879,-35.74356,-0.16704,-0.16704,2.43327,331,1.333333,0.580314,,,,,,,
1000,174.359602,-35.753282,-0.092674,-0.092674,2.491116,401,1,0.715535,,,,,,,
1001,174.357946,-35.762441,-0.394983,-0.394983,2.258083,844,1,1.485326,,,,,,,
1002,174.360215,-35.775514,-0.201169,-0.201169,2.492521,385,1.333333,1.567983,,,,,,,
1003,174.369579,-35.765714,-0.138011,-0.138011,2.545301,787,1,1.434005,,,,,,,
1004,174.380908,-35.758591,0.176872,0.176872,2.364877,815,1,1.688106,,,,,,,
1005,174.394246,-35.769093,-0.191387,-0.191387,2.379789,1070,1.333333,3.332948,,,,,,,
1006,174.408039,-35.779257,-0.579692,-0.579692,2.324696,741,1.333333,3.889831,,,,,,,
1007,174.424535,-35.786871,-0.233858,-0.233858,2.582529,373,2,3.242076,,,,,,,
1008,174.439959,-35.79567,0.220608,0.220608,2.45802,503,1.666667,3.349932,,,,,,,
1009,174.436235,-35.786931,-0.252114,-0.252114,2.342618,438,1.666667,3.105124,,,,,,,
1010,174.438652,-35.777917,-0.034761,-0.034761,2.491895,328,1.666667,2.249732,,,,,,,
1011,174.449653,-35.774279,0.119288,0.119288,2.37101,325,1.666667,2.104291,,,,,,,
1012,174.461919,-35.77099,0.020564,0.020564,2.624191,324,1.666667,2.337275,,,,,,,
1013,174.470085,-35.770561,0.009656,0.009656,2.365158,321,2,2.608894,,,,,,,
1014,174.480062,-35.779221,-0.381519,-0.381519,2.638374,303,2,3.201246,,,,,,,
1015,174.466118,-35.783624,-0.002226,-0.002226,2.453079,431,1.666667,3.339194,,,,,,,
1016,174.467123,-35.789623,0.003698,0.003698,2.236203,496,1.666667,3.568944,,,,,,,
1017,174.461576,-35.794562,0.160805,0.160805,2.250216,494,1.666667,3.402155,,,,,,,
1018,174.481233,-35.793303,-0.693284,-0.693284,2.254084,513,1.666667,4.065866,,,,,,,
1019,174.492958,-35.792499,-0.230533,-0.230533,2.597528,346,2,4.140625,,,,,,,
1020,174.501678,-35.806189,-0.325937,-0.325937,2.332279,415,1.666667,3.901605,,,,,,,
1021,174.497342,-35.817144,-0.089301,-0.089301,2.203925,457,1.666667,3.187193,,,,,,,
1022,174.497287,-35.828013,-0.543543,-0.543543,2.224545,500,1.666667,2.878305,,,,,,,
1023,174.512536,-35.828739,-0.127922,-0.127922,2.366808,357,2,2.816503,,,,,,,
1024,174.526785,-35.826415,-0.402911,-0.402911,2.183891,992,2,6.51159,,,,,,,
1025,174.532929,-35.834752,-0.392943,-0.392943,2.300105,902,2,6.585063,,,,,,,
1026,174.532604,-35.848961,-0.685581,-0.685581,2.309913,842,2,6.379369,,,,,,,
1027,174.528724,-35.85868,-0.680079,-0.680079,2.509241,873,2,6.35653,,,,,,,
1028,174.53805,-35.855824,-0.826657,-0.826657,2.291663,817,2,6.769007,,,,,,,
1029,174.557238,-35.86069,-0.61751,-0.61751,2.443979,616,2,7.657397,,,,,,,
1030,174.574397,-35.859797,-0.312848,-0.312848,2.600316,360,2.333333,7.843185,,,,,,,
1031,174.591476,-35.853646,-0.238432,-0.238432,2.043054,1672,2,14.153714,,,,,,,
1032,174.580924,-35.841413,-0.344316,-0.344316,2.044282,1607,2,13.029884,,,,,,,
1033,174.567966,-35.829446,-0.474472,-0.474472,2.429443,405,2,7.186965,,,,,,,
1034,174.558729,-35.814189,-0.440897,-0.440897,2.416692,557,2,7.429538,,,,,,,
1035,174.55211,-35.796902,0.363529,0.363529,2.133497,618,2,7.576313,,,,,,,
1036,174.554714,-35.781423,0.164935,0.164935,2.511098,513,2,7.902653,,,,,,,
1037,174.553658,-35.772834,0.241317,0.241317,2.362922,418,2,7.781947,,,,,,,
1038,174.559878,-35.762177,-1.010677,-1.010677,2.227013,2620,2,15.00839,,,,,,,
1039,174.553932,-35.752643,-0.903592,-0.903592,2.135426,2746,2,15.02565,,,,,,,
1040,174.556863,-35.744411,-0.629865,-0.629865,2.252968,2658,2,15.312379,,,,,,,
1041,174.56037,-35.740217,-0.487347,-0.487347,2.303765,2607,2,15.611283,,,,,,,
1042,174.556526,-35.730555,-0.349215,-0.349215,2.238659,2668,2,15.74335,,,,,,,
1043,174.557717,-35.724382,-0.399984,-0.399984,1.966936,2638,2,16.002177,,,,,,,
1044,174.561055,-35.723426,-0.345825,-0.345825,2.115784,2579,2,16.193208,,,,,,,
1045,174.561055,-35.723426,-0.345825,-0.345825,2.115784,2579,2,16.193208,,,,,,,
1046,174.561055,-35.723426,-0.345825,-0.345825,2.115784,2579,2,16.193208,,,,,,,
1047,174.561055,-35.723426,-0.345825,-0.345825,2.115784,2579,2,16.193208,,,,,,,
1048,174.561055,-35.723426,-0.345825,-0.345825,2.115784,2579,2,16.193208,,,,,,,
1049,174.561055,-35.723426,-0.345825,-0.345825,2.115784,2579,2,16.193208,,,,,,,
1050,174.561055,-35.723426,-0.345825,-0.345825,2.115784,2579,2,16.193208,,,,,,,
1051,174.561055,-35.723426,-0.345825,-0.345825,2.115784,2579,2,16.193208,,,,,,,
1052,174.561055,-35.723426,-0.345825,-0.345825,2.115784,2579,2,16.193208,,,,,,,
1053,174.561055,-35.723426,-0.345825,-0.345825,2.115784,2579,2,16.193208,,,,,,,
1054,174.561055,-35.723426,-0.345825,-0.345825,2.115784,2579,2,16.193208,,,,,,,
1055,174.561055,-35.723426,-0.345825,-0.345825,2.115784,2579,2,16.193208,,,,,,,
1056,174.561055,-35.723426,-0.345825,-0.345825,2.115784,2579,2,16.193208,,,,,,,
1057,174.561055,-35.723426,-0.345825,-0.345825,2.115784,2579,2,16.193208,,,,,,,
